X, Y, Z
7.581448, 3.228744, 3.074851
1.912389, 3.077535, 0.396137
6.333853, 3.726817, 4.332175
4.034791, 9.320680, 0.703097
7.129733, 4.290471, 2.903189
3.799781, 4.834004, 6.861358
4.313364, 9.192598, 3.182344
3.954701, 8.279939, 3.362218
7.848444, 7.632381, 2.900114
4.400628, 4.611347, 2.936016
2.478473, 5.223600, 3.216860
4.656554, 2.555641, 6.661386
4.134305, 4.704331, 0.812302
2.418204, 1.179353, 5.849482
5.775401, 5.791596, 3.660558
2.614382, 4.000690, 1.596879
-0.361217, 2.765922, 0.686168
4.323295, 8.799692, 2.234977
0.325908, 4.601675, 6.734741
3.027049, 5.711688, 2.435713
3.367969, 4.425231, 2.570676
4.544432, 6.905115, 4.083043
4.736829, 7.596975, 3.891273
3.681941, 7.063785, 5.953783
6.756452, 3.409583, 3.728515
3.293762, 3.965248, 0.575666
6.771979, 5.805033, 0.202353
7.487407, 5.639691, 2.816016
4.135222, 5.935306, 2.273673
7.813736, 5.115673, 3.336794
7.025710, 7.040187, 0.362061
5.413237, 4.576731, 1.948674
8.500683, 5.266865, 2.987191
3.851774, 6.875448, -0.171500
0.808302, 6.114786, -0.688239
2.751776, 3.946045, 2.940826
3.607141, 6.915934, -1.256293
4.427150, 3.727049, 2.550949
6.418200, 2.075141, 5.694627
4.077274, 7.434430, 3.917432
4.760351, 3.382250, 0.323247
7.619546, 3.119749, 2.711209
1.303130, 2.727289, 3.564520
3.929179, 7.455507, 2.535662
3.818105, 0.210219, 2.639939
9.277760, 4.565888, 2.863907
6.630832, 4.692615, 1.512869
4.160901, 6.829840, 1.851743
4.901755, 6.484719, 2.353868
4.079513, 3.712381, 4.784580
4.139288, 6.800685, 3.649942
6.442130, 7.076903, 5.793087
0.274960, 3.785286, 2.623834
8.502042, 7.898961, 2.182838
1.915219, 1.281549, 7.216329
6.002178, 5.038517, -0.498077
4.822466, 2.434945, 1.677375
4.070357, 0.792616, 5.901342
3.595666, 0.331188, 2.240232
5.410764, 4.726097, 1.785670
4.069011, 3.515228, -0.104748
6.834338, 3.675125, 2.178668
3.450370, 9.648315, 4.213653
4.910280, 3.885048, 0.088687
1.253165, 4.706445, 4.119535
6.798833, 5.130794, -1.628825
5.993277, 7.292009, 3.016086
2.651857, 5.349051, 3.828389
2.471689, 3.808781, 3.299183
5.242728, 2.709409, 3.473492
5.413456, 4.153763, 5.147347
7.230836, 5.933101, 1.039282
4.372489, 5.234789, -0.029166
4.094045, 5.657883, 3.579846
8.648983, 5.387488, 3.969770
7.498097, 6.749348, 1.493289
4.406168, 5.792231, 0.864597
6.340475, 4.897488, 4.855894
2.270934, 9.452099, 5.354249
5.181984, 6.938600, 5.170441
6.362315, 3.172056, 6.476537
9.120548, 6.291375, 5.545105
3.112992, 5.210490, 3.648179
2.938828, 7.241260, 1.172536
5.965803, 5.129465, 5.665852
7.067663, 1.027448, 2.245829
2.607833, 6.054401, 2.453346
3.536564, 6.379877, 2.406095
5.594799, 5.632849, 5.808136
7.347396, 6.293532, 3.172870
7.403591, 5.976368, 3.315953
4.194573, 5.045179, 4.647342
4.029687, 7.647582, 1.656788
1.916603, 5.275955, 3.609225
5.374102, 3.656238, 3.538742
6.487745, 7.212662, 3.072857
1.215923, 5.329336, 3.795538
6.118590, 5.757442, 0.104187
4.025161, 5.271872, 2.411806
-0.059033, 9.870972, 4.487019
2.314202, 6.919324, 2.671926
8.278276, 2.246108, 4.014061
2.557681, 9.761428, 5.115719
7.739605, 6.406214, 5.904193
1.734285, 8.189611, 1.765709
0.028427, 5.991671, 3.787282
4.088704, 6.787039, 6.705794
6.241491, 7.259501, 0.357214
5.382772, 3.205083, -1.241876
4.169128, 6.048226, -0.156830
6.990160, 2.329459, 3.372620
7.227154, 10.614210, 4.434101
4.110374, 2.628816, 6.850449
4.032567, 6.136069, 6.018089
6.853156, 6.230677, 2.589865
3.127067, 4.642356, 2.228705
2.483609, 6.066770, 3.059698
4.878467, 5.870912, 4.238647
4.925286, 9.940314, -0.089964
4.123985, 2.267535, 5.070401
4.777608, 5.121062, 4.278769
2.476581, 2.290962, 7.377071
2.703718, 5.323799, 5.662802
-0.465725, 7.828576, 3.736198
6.275485, 5.757630, -2.713379
4.953880, 3.171175, 3.874919
6.132237, 3.959279, 2.983084
6.837834, 7.057106, 2.339080
1.494496, 5.211830, 3.208798
4.640945, 3.627561, 2.832801
6.642467, 5.270389, 3.885048
6.535579, 5.112118, -0.344860
5.002343, 5.399268, 4.102173
3.427493, 3.663987, 3.098252
4.704475, 3.440796, 4.172430
1.434137, 3.421411, 6.017511
5.738777, 5.037378, 6.593046
5.347473, 3.657656, 2.798977
3.858946, 7.312094, 4.893024
2.097916, 7.260271, 1.605287
5.513520, 5.038638, 1.931827
4.170282, 3.945863, 3.835352
2.677962, 2.697732, 5.676086
7.222126, 7.671362, 2.262886
4.914289, 2.821594, 4.631664
4.197787, 7.681768, 2.215323
4.256993, 4.695853, 3.327685
8.451246, 10.007657, 4.194912
7.382087, 9.402230, 1.726675
6.923542, 6.862772, 3.283389
2.381490, -2.394206, 1.276628
4.304834, 5.414869, 2.413062
6.594060, 5.520927, 3.941380
8.757716, 4.519723, 3.486952
3.969346, 1.545213, 3.718414
2.216203, 4.535002, 2.510575
4.085378, 8.552488, 2.142286
6.485999, 7.138632, 6.852786
7.314046, 7.410694, 2.761912
2.619714, 5.120781, 2.514317
4.393021, 6.815983, 0.243366
6.268141, 5.933686, 2.385289
5.707282, 4.325465, -0.048184
8.841916, 4.323011, 2.792281
3.657612, 5.010036, 4.530766
